latitude,longitude,elevation,temps,temperature,freqCard,vitesseInst,distCum,tempsCum
49.47276,1.060924,113.8,2023-11-05 15:05:47+00:00,26,95,0,0,0
49.472767,1.060926,113.4,2023-11-05 15:05:49+00:00,26,96,1.4568893760965977,0.809382986720332,2.0
49.47278,1.060924,112.0,2023-11-05 15:05:50+00:00,26,97,5.264265569217533,2.2716789781696467,3.0
49.472798,1.060942,115.2,2023-11-05 15:05:52+00:00,26,98,5.094572593686915,5.101997085773489,5.0
49.472805,1.060954,114.6,2023-11-05 15:05:54+00:00,26,103,2.780463705437499,6.646699144349877,7.0
49.47281,1.060973,114.6,2023-11-05 15:05:55+00:00,26,103,7.864593933005007,8.8313085701846,8.0
49.472809,1.061,114.6,2023-11-05 15:05:56+00:00,26,107,10.815554784661225,11.835629343701607,9.0
49.472808,1.061022,115.2,2023-11-05 15:05:57+00:00,25,110,8.815728146242938,14.284442717657978,10.0
49.472803,1.061046,115.6,2023-11-05 15:05:58+00:00,25,113,9.813447697017883,17.010400411274055,11.0
49.472785,1.061122,116.6,2023-11-05 15:06:00+00:00,25,116,15.632140147351786,25.69492271535838,13.0
49.47274,1.061221,117.0,2023-11-05 15:06:03+00:00,25,118,14.510166722167433,37.786728317164574,16.0
49.472706,1.061272,117.2,2023-11-05 15:06:05+00:00,25,122,12.267474232250825,44.601991779526145,18.0
49.472693,1.061305,117.2,2023-11-05 15:06:06+00:00,25,122,14.197693164099201,48.54579543622037,19.0
49.472681,1.061338,117.0,2023-11-05 15:06:07+00:00,25,126,14.055953471637633,52.45022695611971,20.0
49.47266,1.061434,117.8,2023-11-05 15:06:09+00:00,25,127,19.668678926693065,63.37727080428252,22.0
49.472634,1.061514,118.6,2023-11-05 15:06:11+00:00,25,130,16.836207532894864,72.73071943366855,24.0
49.472624,1.061545,118.8,2023-11-05 15:06:12+00:00,24,131,13.038815524665836,76.35261263496461,25.0
49.472601,1.061606,119.4,2023-11-05 15:06:14+00:00,24,134,13.047961457699344,83.60148011146426,27.0
49.472537,1.061672,119.6,2023-11-05 15:06:18+00:00,24,136,9.199645612184037,93.82330856944651,31.0
49.472452,1.061739,119.8,2023-11-05 15:06:22+00:00,24,135,10.830140824694794,105.85679837466294,35.0
49.472397,1.061807,119.8,2023-11-05 15:06:25+00:00,24,135,11.669145615406633,115.5810863875018,38.0
49.472366,1.06182,119.8,2023-11-05 15:06:26+00:00,24,135,13.454366991705436,119.31841055186442,39.0
49.472283,1.061937,120.0,2023-11-05 15:06:31+00:00,23,137,11.484023760141302,135.26844355206066,44.0
49.472187,1.062048,120.2,2023-11-05 15:06:37+00:00,23,139,9.790320403135034,151.5856442239524,50.0
49.472091,1.062155,120.6,2023-11-05 15:06:44+00:00,23,141,8.22003869963138,167.56905280656895,57.0
49.47207,1.062169,120.8,2023-11-05 15:06:46+00:00,23,143,5.050978610824506,170.37515203480478,59.0
49.471982,1.062237,121.2,2023-11-05 15:06:51+00:00,23,144,8.90267415981635,182.73997725677194,64.0
49.471879,1.062467,121.8,2023-11-05 15:06:58+00:00,23,145,14.411016027795691,210.76139731081912,71.0
49.47186,1.06248,121.8,2023-11-05 15:06:59+00:00,22,145,9.214558850109347,213.32099699140505,72.0
49.471839,1.062491,121.8,2023-11-05 15:07:00+00:00,22,146,9.488488497937057,215.95668824083202,73.0
49.471749,1.062531,122.4,2023-11-05 15:07:05+00:00,22,146,7.883897637146919,226.90654607020275,78.0
49.471659,1.062606,123.0,2023-11-05 15:07:11+00:00,22,146,7.815348070462576,239.93212618764036,84.0
49.47157,1.062775,123.6,2023-11-05 15:07:17+00:00,22,146,12.742637390235195,261.16985517136567,90.0
49.471529,1.062858,124.0,2023-11-05 15:07:20+00:00,22,145,12.352133447882272,271.46329971126755,93.0
49.471468,1.062938,124.4,2023-11-05 15:07:23+00:00,22,146,13.42302682599137,282.64915539959367,96.0
49.471413,1.062981,124.6,2023-11-05 15:07:25+00:00,22,143,13.971848090128319,290.41129322744274,98.0
49.471325,1.063084,125.0,2023-11-05 15:07:29+00:00,22,144,13.556559228378118,305.4741368145295,102.0
49.471288,1.06317,125.4,2023-11-05 15:07:31+00:00,22,147,18.737936464145683,315.8841015168327,104.0
49.471228,1.063303,125.8,2023-11-05 15:07:34+00:00,22,144,19.468442368335545,332.10780349044563,107.0
49.471187,1.063434,126.0,2023-11-05 15:07:37+00:00,22,146,18.315679956580674,347.3708701209295,110.0
49.471177,1.063473,126.2,2023-11-05 15:07:38+00:00,22,145,16.116634853824024,351.8477131358806,111.0
49.471038,1.063578,126.8,2023-11-05 15:07:43+00:00,22,144,13.945065559296909,371.2158597460152,116.0
